task_name,period_ms,cycle_num,scheduled_ns,actual_ns,exec_end_ns
SurfaceRecon,100,181,2810732283239,2810732295439,2810732303514
DistanceCalc,20,905,2810732335697,2810732343583,2810732343766
DataIMU,0,175,2810732313339,2810732313339,2810732409809
DistanceCalc,20,906,2810752335697,2810752344932,2810752345087
DistanceCalc,20,907,2810772335697,2810772344765,2810772344845
NavCommand,80,227,2810792293075,2810792302183,2810792303278
DistanceCalc,20,908,2810792335697,2810792344520,2810792344742
NavControl,80,227,2810793195935,2810793205568,2810793206254
DistanceCalc,20,909,2810812335697,2810812343505,2810812343655
SurfaceRecon,100,182,2810832283239,2810832294005,2810832300207
DistanceCalc,20,910,2810832335697,2810832342643,2810832342782
DataIMU,0,176,2810832308242,2810832308242,2810832394624
DistanceCalc,20,911,2810852335697,2810852344270,2810852344440
NavCommand,80,228,2810872293075,2810872303018,2810872304100
DistanceCalc,20,912,2810872335697,2810872344735,2810872344946
NavControl,80,228,2810873195935,2810873205639,2810873206473
DistanceCalc,20,913,2810892335697,2810892348720,2810892349653
DistanceCalc,20,914,2810912335697,2810912342893,2810912343150
SurfaceRecon,100,183,2810932283239,2810932295044,2810932301291
DistanceCalc,20,915,2810932335697,2810932343558,2810932343735
DataIMU,0,177,2810932308853,2810932308853,2810932393845
NavCommand,80,229,2810952293075,2810952302548,2810952303585
DistanceCalc,20,916,2810952335697,2810952343914,2810952344270
NavControl,80,229,2810953195935,2810953205488,2810953206249
DistanceCalc,20,917,2810972335697,2810972347537,2810972347704
DistanceCalc,20,918,2810992335697,2810992348223,2810992349023
DistanceCalc,20,919,2811012335697,2811012344345,2811012344488
SurfaceRecon,100,184,2811032283239,2811032295312,2811032302355
NavCommand,80,230,2811032293075,2811032301701,2811032302875
DistanceCalc,20,920,2811032335697,2811032343517,2811032343699
DataIMU,0,178,2811032310577,2811032310577,2811032400134
NavControl,80,230,2811033195935,2811033203987,2811033204422
DistanceCalc,20,921,2811052335697,2811052344617,2811052344771
DistanceCalc,20,922,2811072335697,2811072346132,2811072346339
DistanceCalc,20,923,2811092335697,2811092350283,2811092350446
NavCommand,80,231,2811112293075,2811112302221,2811112303259
DistanceCalc,20,924,2811112335697,2811112343635,2811112343772
NavControl,80,231,2811113195935,2811113204375,2811113204925
SurfaceRecon,100,185,2811132283239,2811132293951,2811132300388
DistanceCalc,20,925,2811132335697,2811132342958,2811132343127
DataIMU,0,179,2811132308010,2811132308010,2811132389376
DistanceCalc,20,926,2811152335697,2811152346139,2811152346401
DistanceCalc,20,927,2811172335697,2811172346255,2811172346595
NavCommand,80,232,2811192293075,2811192303093,2811192304218
DistanceCalc,20,928,2811192335697,2811192347231,2811192347531
NavControl,80,232,2811193195935,2811193205046,2811193205575
DistanceCalc,20,929,2811212335697,2811212342869,2811212343066
SurfaceRecon,100,186,2811232283239,2811232295422,2811232302612
DistanceCalc,20,930,2811232335697,2811232342979,2811232343238
DataIMU,0,180,2811232310715,2811232310715,2811232410838
DistanceCalc,20,931,2811252335697,2811252343890,2811252344056
NavCommand,80,233,2811272293075,2811272303022,2811272304266
DistanceCalc,20,932,2811272335697,2811272345011,2811272345175
NavControl,80,233,2811273195935,2811273205592,2811273206088
DistanceCalc,20,933,2811292335697,2811292346536,2811292346714
DistanceCalc,20,934,2811312335697,2811312342460,2811312342600
SurfaceRecon,100,187,2811332283239,2811332294837,2811332302039
DistanceCalc,20,935,2811332335697,2811332342604,2811332342829
DataIMU,0,181,2811332310290,2811332310290,2811332404617
NavCommand,80,234,2811352293075,2811352303007,2811352304017
DistanceCalc,20,936,2811352335697,2811352346093,2811352346435
NavControl,80,234,2811353195935,2811353205437,2811353206021
DistanceCalc,20,937,2811372335697,2811372345331,2811372345505
DistanceCalc,20,938,2811392335697,2811392347718,2811392347875
DistanceCalc,20,939,2811412335697,2811412343975,2811412344119
NavCommand,80,235,2811432293075,2811432300359,2811432301429
SurfaceRecon,100,188,2811432283239,2811432296721,2811432303588
DistanceCalc,20,940,2811432335697,2811432343189,2811432343412
DataIMU,0,182,2811432311354,2811432311354,2811432417168
NavControl,80,235,2811433195935,2811433203277,2811433203876
DistanceCalc,20,941,2811452335697,2811452344624,2811452344851
DistanceCalc,20,942,2811472335697,2811472346407,2811472346673
DistanceCalc,20,943,2811492335697,2811492349909,2811492350061
NavCommand,80,236,2811512293075,2811512302623,2811512303600
DistanceCalc,20,944,2811512335697,2811512343945,2811512344155
NavControl,80,236,2811513195935,2811513204073,2811513204796
SurfaceRecon,100,189,2811532283239,2811532297169,2811532304269
DistanceCalc,20,945,2811532335697,2811532343898,2811532344097
DataIMU,0,183,2811532313749,2811532313749,2811532402356
DistanceCalc,20,946,2811552335697,2811552347892,2811552348137
DistanceCalc,20,947,2811572335697,2811572346179,2811572346333
NavCommand,80,237,2811592293075,2811592302513,2811592303679
DistanceCalc,20,948,2811592335697,2811592346147,2811592346361
NavControl,80,237,2811593195935,2811593205806,2811593206500
DistanceCalc,20,949,2811612335697,2811612342748,2811612342892
SurfaceRecon,100,190,2811632283239,2811632300764,2811632306900
DistanceCalc,20,950,2811632335697,2811632344146,2811632344303
DataIMU,0,184,2811632315686,2811632315686,2811632405905
DistanceCalc,20,951,2811652335697,2811652346764,2811652346983
NavCommand,80,238,2811672293075,2811672302810,2811672304166
DistanceCalc,20,952,2811672335697,2811672346304,2811672346521
NavControl,80,238,2811673195935,2811673204803,2811673205490
DistanceCalc,20,953,2811692335697,2811692346576,2811692346738
DistanceCalc,20,954,2811712335697,2811712344898,2811712345127
SurfaceRecon,100,191,2811732283239,2811732295485,2811732301863
DistanceCalc,20,955,2811732335697,2811732344242,2811732344478
DataIMU,0,185,2811732310818,2811732310818,2811732400935
NavCommand,80,239,2811752293075,2811752301860,2811752303127
DistanceCalc,20,956,2811752335697,2811752344307,2811752344532
NavControl,80,239,2811753195935,2811753204295,2811753204986
DistanceCalc,20,957,2811772335697,2811772346922,2811772347122
DistanceCalc,20,958,2811792335697,2811792347332,2811792347482
DistanceCalc,20,959,2811812335697,2811812342785,2811812342956
NavCommand,80,240,2811832293075,2811832300837,2811832301830
SurfaceRecon,100,192,2811832283239,2811832295997,2811832303101
DistanceCalc,20,960,2811832335697,2811832342691,2811832342926
DataIMU,0,186,2811832315307,2811832315307,2811832406936
NavControl,80,240,2811833195935,2811833203511,2811833204132
DistanceCalc,20,961,2811852335697,2811852344822,2811852345001
